fecha,escenario,artista,hora_inicio,hora_fin,soundcheck,notas
15/07/2026,Escenario Principal,Neón,15:30,16.00,2:00 Pm,None
17/07/2026,Escenario Principal,Topacio,2100,22:00,None,Patrocinado Por Red Bull
16/07/2026,Escenario Río,Los Olvidados,16.00,1800,15:00,None
15/07/2026,Escenario Sol,Código Rojo,18.30,19:30,1700,Equipo Propio De Sonido
17/07/2026,Escenario Río,Cuarto Creciente,17.30,6:00 PM,None,Patrocinado Por Red Bull
15/07/2026,Escenario Sol,Aurora Boreal,22.00,18:00,16:00,Error Horario Posible
16/07/26,Escenario Bosque,Silencio Roto,14:00,3:30 PM,1300,None
15/07/2026,Escenario Luna,Wisteria,12.30,2:00 PM,1000,Importante: Carga Eléctrica Extra
17/07/2026,Escenario Sol,Sístole,1130,12:00 PM,9:00 Am,None
15/07/2026,Escenario Luna,Loto,16.30,17:00,14:00,None
15/07/2026,Escenario Luna,Amanecer,22.00,23:00,20:00,Cambio De Última Hora
17/07/26,Escenario Río,Los Satélites,8:00 PM,2130,None,Necesita Piano De Cola
16/07/2026,Escenario Sol,Oasis Sonoro,12:00 PM,,None,None
15/07/26,Escenario Río,Sonido Ancestral,19.30,20.00,18.00,Patrocinado Por Red Bull
16/07/26,Escenario Principal,Gaviota,1:30,3:30,23:00,Artista Confirmado
16/7/2026,Escenario Sol,Sombra Latina,1600,17.00,15.00,None
16/07/2026,Escenario Río,None,1:00 PM,17.00,None,None
16/07/2026,Escenario Bosque,Tempestad,19:00,20:00,5:00 Pm,Equipo Propio De Sonido
16/07/2026,Escenario Luna,Radio Pirata,18.30,1930,1700,Importante: Carga Eléctrica Extra
16/7/2026,Escenario Río,Ébano,22:00,23:00,20.00,Necesita Piano De Cola
,Escenario Bosque,Laberinto,23.00,1600,None,None
16/7/2026,Escenario Bosque,Los Eternos,00.00,2:30,23:00,None
17/07/2026,Escenario Bosque,Clave De Sol,15:30,16.00,1400,Requiere Pantalla Led
17/07/2026,Escenario Río,Yesca,1800,8:30 PM,None,None
17/07/2026,Escenario Bosque,Lava,20.00,2100,None,None
15/7/2026,Escenario Sol,Coral,13.00,2:00 PM,1100,
15/07/2026,Escenario Bosque,Enigma,4:30 PM,18:00,15:00,None
16/07/26,Escenario Río,Vórtice,1830,20:30,1700,Patrocinado Por Red Bull
17/07/2026,Escenario Luna,Urano,8:00 PM,21:30,19.00,Posible Retraso
15/07/26,Escenario Bosque,Jungla Urbana,12:30,14:00,11:00,Equipo Propio De Sonido
16/07/2026,Escenario Principal,Corriente Alterna,14:00,15:00,13.00,Posible Retraso
15/07/2026,Escenario Bosque,Lux,9:30 PM,2200,20.00,Importante: Carga Eléctrica Extra
16/07/2026,Escenario Río,Nómada,01:30,02:00,None,Importante: Carga Eléctrica Extra
,Escenario Bosque,None,9:00 PM,2300,None,None
16/07/2026,Escenario Luna,Los Eternos,1900,20:00,17:00,Cambio De Última Hora
16/07/2026,Escenario Luna,Callejón Sin Salida,20:00,21:00,None,Requiere Pantalla Led
15/07/2026,Escenario Luna,Zodíaco,23.30,0:00 AM,22.00,Posible Retraso
17/07/2026,Escenario Sol,Los Satélites,2:30 PM,16:00,1300,Importante: Carga Eléctrica Extra
15/07/2026,Escenario Principal,Prisma,18.30,8:30 PM,17.00,None
16/07/2026,Escenario Principal,Oleaje,15:00,1630,None,Importante: Carga Eléctrica Extra
17/7/2026,Escenario Sol,Café Quemado,1:30 PM,2:30 PM,12:00,Artista Confirmado
15/07/26,Escenario Bosque,Rayo,22.00,00:00,None,Sin Requisitos Especiales
17/07/26,Escenario Bosque,Los Descalzos,22:30,23.00,21.00,Artista Confirmado
15/7/2026,Escenario Luna,Iris,9:00 PM,2230,None,None
17/07/2026,Escenario Luna,Ecos Del Sur,18:30,2000,1600,Sin Requisitos Especiales
17/7/2026,Escenario Río,Quintaesencia,0:30,0130,2300,Posible Retraso
17/7/2026,Escenario Luna,Impulso,1300,1500,12:00,Sin Requisitos Especiales
17/07/2026,Escenario Luna,Clave De Sol,3:00 PM,17:30,None,Patrocinado Por Red Bull
15/07/2026,Escenario Sol,El Circo Eléctrico,19:00,20.30,1800,Artista Confirmado
17/07/2026,Escenario Luna,Prisma,11.30,13:30,1000,None
17/7/2026,Escenario Río,Alma Negra,21.30,23:00,19.00,None
17/07/2026,Escenario Luna,Vendaval,5:00 PM,18:00,4:00 Pm,
15/07/2026,Escenario Bosque,Pólvora,1800,19.30,17:00,Requiere Pantalla Led
17/07/26,Escenario Bosque,Beto Y Los Fugitivos,13:00,14:00,11:00 Am,Importante: Carga Eléctrica Extra
15/07/2026,Escenario Principal,Rocío,13:00,1500,None,
16/07/2026,Escenario Luna,Amanecer,11:30 AM,13:00,9:00,
16/07/2026,Escenario Río,Mosaico,04:00,06.30,02:00,Artista Confirmado
16/07/26,Escenario Bosque,Mármol,10:00 PM,18:00,4:00 Pm,Error Horario Posible
17/07/2026,Escenario Bosque,Tercer Acto,21.00,22:30,None,Patrocinado Por Red Bull
16/07/2026,,Zodíaco,,3:00 PM,None,None
16/07/26,Escenario Principal,Impulso,11:00 AM,12:00,09.00,Importante: Carga Eléctrica Extra
16/07/2026,Escenario Sol,Los Vagabundos,11:00,12:00 PM,10.00,Patrocinado Por Red Bull
17/07/2026,Escenario Principal,La Tribu,14:00,15:00,1:00 Pm,None
16/07/26,Escenario Luna,Vendaval,22:00,18:00,4:00 Pm,Error Horario Posible
16/07/2026,Escenario Sol,Oasis Sonoro,13.30,3:00 PM,11:00 Am,Importante: Carga Eléctrica Extra
16/7/2026,Escenario Luna,Kaleidoscopio,1:00 PM,3:30 PM,11.00,None
17/07/2026,Escenario Luna,Alquimia,01.30,02:00,11:00 Pm,None
15/07/2026,Escenario Principal,Mármol,2100,22:00,2000,
15/07/2026,Escenario Bosque,Crepúsculo,2:00 PM,16:00,12:00 Pm,Sin Requisitos Especiales
17/07/2026,Escenario Bosque,Quirón,14.00,1500,1:00 Pm,None
17/07/26,Escenario Sol,Jardín Secreto,16.00,6:00 PM,1500,Requiere Pantalla Led
16/07/2026,Escenario Bosque,Rocío,15:30,17.00,14.00,Requiere Pantalla Led
15/07/2026,Escenario Principal,Wisteria,4:00 PM,18.30,2:00 Pm,None
15/07/2026,Escenario Sol,Despertar,14.30,16:30,1200,None
17/07/2026,Escenario Luna,Eclipse Total,11:00 PM,01:00,None,Posible Retraso
15/07/2026,Escenario Río,Ecos Del Sur,1530,5:00 PM,14.00,None
15/07/2026,Escenario Río,Granito,21.00,10:00 PM,8:00 Pm,None
15/07/2026,Escenario Sol,Los Descalzos,1230,1300,1000,Artista Confirmado
16/07/26,Escenario Río,Altavoz,06.00,7:00,5:00 Am,Requiere Pantalla Led
16/07/2026,Escenario Sol,Magma,12.30,13.00,10.00,None
16/07/2026,Escenario Río,Callejón Sin Salida,20:00,10:00 PM,None,Importante: Carga Eléctrica Extra
16/07/2026,Escenario Sol,Wavelength,1800,19.00,None,Artista Confirmado
15/07/2026,Escenario Luna,Brújula,15:00,1600,1400,None
15/07/2026,Escenario Sol,Kilómetro Cero,16.00,1700,15:00,None
15/07/2026,Escenario Principal,Nómada,1130,1200,1000,Necesita Piano De Cola
16/07/2026,Escenario Río,Voltio,3:00 AM,04.00,01.00,Artista Confirmado
16/07/2026,Escenario Principal,Latido,20:00,9:30 PM,7:00 Pm,Sin Requisitos Especiales
17/07/2026,Escenario Principal,Fusión Latina,15:00,1730,13:00,Posible Retraso
15/07/2026,Escenario Principal,Zenit,2000,21:30,1800,Posible Retraso
16/07/2026,Escenario Bosque,Obsidiana,1700,7:00 PM,16:00,Cambio De Última Hora
17/07/2026,Escenario Sol,Tercer Acto,9:30 PM,2330,19:00,None
16/07/2026,Escenario Río,Ecos Del Sur,23:00,0100,2100,
17/07/2026,Escenario Río,Fuego Lento,16.30,17:00,None,Artista Confirmado
16/07/2026,Escenario Principal,Relámpago,12:30 PM,13:00,None,Patrocinado Por Red Bull
16/07/2026,Escenario Principal,Espiral,10:00 PM,0:00 AM,21:00,None
17/07/2026,Escenario Río,Viento Sur,18:00,18.00,None,None
17/07/2026,Escenario Bosque,Voltio,19:00,21.30,None,Posible Retraso
15/07/2026,Escenario Sol,Pandora,17:30,18:00,4:00 Pm,None
15/7/2026,Escenario Luna,Brújula,17:30,19:30,16:00,None
16/07/2026,Escenario Bosque,The Electric Sheep,20.00,22:30,18:00,Artista Confirmado
16/07/2026,Escenario Luna,Sendero,,14:00,None,None
16/07/2026,Escenario Sol,Xilófono,15:00,4:30 PM,1:00 Pm,None
15/07/2026,Escenario Río,Iridiscente,1700,18:30,15:00,None
17/07/2026,Escenario Principal,Los Invisibles,1200,1300,1100,Patrocinado Por Red Bull
15/07/2026,Escenario Sol,Café Quemado,20:00,21:30,18.00,Patrocinado Por Red Bull
16/07/2026,Escenario Bosque,Beto Y Los Fugitivos,1300,14:00,12:00,Posible Retraso
15/07/2026,Escenario Luna,Bajo Presión,2:30 PM,3:00 PM,12:00,None
17/07/2026,Escenario Principal,Hipnosis,11:30,12.00,10:00,Posible Retraso
16/07/26,Escenario Principal,Kometa,2130,10:00 PM,19:00,None
16/07/2026,Escenario Bosque,Horizonte,2200,0:00,2000,Requiere Pantalla Led
17/07/2026,Escenario Principal,Fulgor,5:00 PM,18:00,1500,None
16/07/2026,Escenario Principal,Equinoccio,13.00,14:00,11:00 Am,Patrocinado Por Red Bull
16/07/2026,Escenario Río,Pulso Urbano,1430,1600,12:00,Patrocinado Por Red Bull
17/07/2026,Escenario Bosque,Los Pioneros,1830,7:30 PM,17.00,None
15/07/2026,Escenario Río,Rapsodia,20:30,9:00 PM,7:00 Pm,Necesita Piano De Cola
17/7/2026,Escenario Río,Titanio,12:30 PM,13:00,10:00,Equipo Propio De Sonido
17/07/2026,Escenario Luna,Eclipse Total,21.30,23:30,7:00 Pm,
17/07/26,Escenario Río,Clave De Sol,13:00,15.30,1200,Importante: Carga Eléctrica Extra
16/07/2026,Escenario Principal,Amanecer,1630,1830,None,Posible Retraso
15/07/2026,Escenario Luna,Alma Negra,20:00,21:30,19:00,
16/7/2026,Escenario Sol,Loto,19:00,20.00,18:00,None
16/07/2026,Escenario Luna,El Circo Eléctrico,10:30 PM,00:00,None,
17/07/2026,Escenario Principal,Diáspora,18.00,20.30,16:00,Importante: Carga Eléctrica Extra
17/07/2026,Escenario Río,Obsidiana,23.00,0:30,21:00,None
,Escenario Principal,Cáctus,1900,22:00,None,None
15/07/2026,Escenario Río,Los Eternos,11.00,13:00,9:00 Am,Requiere Pantalla Led
15/07/2026,Escenario Luna,Oasis Sonoro,22.00,1800,1600,Error Horario Posible
17/07/2026,Escenario Principal,Grafito,2000,21.30,19.00,None
16/07/2026,Escenario Luna,Tempestad,21.00,22:30,2000,Cambio De Última Hora
16/07/2026,Escenario Bosque,Grieta,04.00,6:00,None,None
16/07/2026,Escenario Río,Ritmo Salvaje,18.00,22:00,None,None
16/07/26,Escenario Luna,Clave De Sol,17:00,1800,15.00,
16/07/2026,Escenario Luna,Wavelength,15.00,1600,2:00 Pm,Artista Confirmado
17/07/2026,Escenario Sol,Andén Cero,7:30 PM,21.30,1800,Necesita Piano De Cola
15/07/2026,Escenario Bosque,Bumerán,19:00,9:00 PM,17.00,Artista Confirmado
15/07/2026,Escenario Río,Ónix,1:00 PM,15:00,11:00,Sin Requisitos Especiales
16/07/2026,Escenario Bosque,Solsticio,02:00,04.00,0:00 Am,Cambio De Última Hora
16/07/2026,Escenario Sol,None,,16:00,None,None
16/7/2026,Escenario Río,Lava,02.00,0330,01:00,Artista Confirmado
16/07/2026,Escenario Principal,Los Olvidados,0030,1:00,23.00,Sin Requisitos Especiales
17/07/2026,Escenario Principal,Iridiscente,13:00,2:30 PM,11:00,Requiere Pantalla Led
17/07/2026,Escenario Sol,None,21:00,20.00,None,None
15/07/26,Escenario Bosque,None,1300,13:00,None,None
15/07/2026,Escenario Río,Ícaro,6:30 PM,19.00,None,Patrocinado Por Red Bull
17/7/2026,Escenario Bosque,Los Satélites,1630,18.30,15.00,None
,Escenario Sol,Los Vagabundos,,,None,None
15/07/2026,Escenario Principal,Kilómetro Cero,12:00,13:30,11:00 Am,None
16/07/2026,Escenario Principal,Lux,1800,20:00,1700,Requiere Pantalla Led
,Escenario Bosque,Bermellón,,10:00 PM,None,None
17/07/2026,Escenario Sol,Ritmo Salvaje,12:00,13.00,None,Importante: Carga Eléctrica Extra
17/07/26,Escenario Luna,Melodía Errante,22:00,18.00,16:00,Error Horario Posible
16/07/2026,Escenario Río,Impulso,13.30,14.00,11:00 Am,
15/07/2026,Escenario Luna,Cristal Roto,19.00,2000,18:00,Requiere Pantalla Led
16/07/26,Escenario Sol,Mala Hierba,17.00,18:00,16:00,Patrocinado Por Red Bull
17/07/26,Escenario Río,Duende,3:30 PM,16:00,13:00,None
16/07/2026,Escenario Luna,Géminis,16:00,1700,14.00,None
15/07/2026,Escenario Bosque,Clave De Sol,11:00,1230,1000,Equipo Propio De Sonido
17/07/2026,Escenario Sol,Atardecer,1800,19:00,16:00,None
